آثار	اثر
آرا	رأی
آراء	رأی
آفات	آفت
آفاق	افق
آمال	امل
ائمه	امام
ابرار	بر
ابعاد	بعد
ابنیه	بنا
ابواب	باب
ابیات	بیت
اثمار	ثمر
اجرام	جرم
اجسام	جسم
اجنه	جن
احادیث	حدیث
احجام	حجم
احرار	حر
احزاب	حزب
احوال	حال
احکام	حکم
اخبار	خبر
اخلاق	خلق
اخیار	خیر
ادبا	ادیب
ادعیه	دعا
ادله	دلیل
ادوار	دور
ادویه	دوا
ادیان	دین
اذهان	ذهن
اذکار	ذکر
اراذل	رذل
اراضی	ارض
ارزاق	رزق
ارقام	رقم
ارواح	روح
ارکان	رکن
ازمنه	زمان
اساتید	استاد
اساطیر	اسطوره
اسامی	اسم
اسرار	سر
اسما	اسم
اسناد	سند
اسهال	سهل
اسیله	سوال
اشجار	شجره
اشخاص	شخص
اشرار	شر
اشراف	شریف
اشربه	شراب
اشعار	شعر
اشقیا	شقی
اشکال	شکل
اشیا	شی
اصحاب	صاحب
اصدقا	صدیق
اصناف	صنف
اصنام	صنم
اصوات	صوت
اصول	اصل
اضداد	ضد
اطبا	طبیب
اطراف	طرف
اطعمه	طعام
اطفال	طفل
اعدا	عدو
اعراب	عرب
اعزا	عزیز
اعصاب	عصب
اعضا	عضو
اعماق	عمق
اعمال	عمل
اعناب	عنب
اغذیه	غذا
اغراض	غرض
افراد	فرد
افعال	فعل
افلاک	فلک
افکار	فکر
اقالیم	اقلیم
اقربا	قریب
اقسام	قسم
اقشار	قشر
اقفال	قفل
اقلام	قلم
اقوال	قول
اقوام	قوم
الاملاح	الملح
البسه	لباس
الحام	لحم
الحکام	الحاکم
القاب	لقب
الواح	لوح
الکبار	الکبیر
اماکن	مکان
امثال	مثل
امراض	مرض
املاک	ملک
امم	امت
امواج	موج
اموال	مال
امور	امر
امیال	میل
انبیا	نبی
انجم	نجم
انظار	نظر
انفس	نفس
انهار	نهر
انواع	نوع
اهالی	اهل
اهداف	هدف
اواخر	آخرة
اواسط	وسط
اوایل	اول
اوراد	ورد
اوراق	ورق
اوزان	وزن
اوصاف	وصف
اوضاع	وضع
اوقات	وقت
اولاد	ولد
اولیا	ولی
اولیاء	ولی
